,imagenet_class,original_score,perturbated_score
161,"basset, basset hound",2.587826e-05,4.658864e-07
162,beagle,3.158951e-05,8.204736e-07
163,"bloodhound, sleuthhound",5.1394683e-05,2.6859993e-06
164,bluetick,1.5525571e-05,2.9691023e-07
165,black-and-tan coonhound,2.2763488e-05,9.1369355e-07
166,"Walker hound, Walker foxhound",8.386872e-06,6.756138e-08
167,English foxhound,1.9019952e-05,7.429672e-07
168,redbone,6.393326e-06,1.0692669e-06
169,"borzoi, Russian wolfhound",3.991162e-06,9.6864e-08
170,Irish wolfhound,1.9628474e-06,5.427793e-08
171,Italian greyhound,4.5678275e-06,1.968868e-07
172,whippet,2.0777659e-06,1.0163078e-07
173,"Ibizan hound, Ibizan Podenco",6.169141e-06,2.415973e-07
174,"Norwegian elkhound, elkhound",2.8795469e-06,2.5568013e-07
175,"otterhound, otter hound",8.904217e-06,1.0762446e-07
176,"Saluki, gazelle hound",1.023566e-05,1.1042295e-07
177,"Scottish deerhound, deerhound",7.277924e-06,1.2796441e-07
178,Weimaraner,1.3772167e-05,2.0340176e-06
179,"Staffordshire bullterrier, Staffordshire bull terrier",1.2814138e-05,4.554645e-07
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",6.032104e-06,3.1497518e-07
181,Bedlington terrier,1.0152365e-05,1.3085403e-07
182,Border terrier,6.354787e-06,2.81948e-07
183,Kerry blue terrier,2.5788213e-05,7.263076e-07
184,Irish terrier,4.3761866e-06,3.6959324e-07
185,Norfolk terrier,1.1715148e-05,1.3395825e-06
186,Norwich terrier,2.5709756e-05,3.7316045e-07
187,Yorkshire terrier,1.2714576e-05,1.7738539e-07
188,wire-haired fox terrier,1.20145205e-05,7.6232205e-08
189,Lakeland terrier,1.7164864e-05,1.6321214e-07
190,"Sealyham terrier, Sealyham",4.8893722e-05,1.4619857e-06
191,"Airedale, Airedale terrier",1.7357348e-05,2.9499157e-07
192,"cairn, cairn terrier",5.092506e-06,2.392989e-07
193,Australian terrier,1.36799745e-05,1.27757e-07
194,"Dandie Dinmont, Dandie Dinmont terrier",2.8783486e-05,2.2493393e-07
195,"Boston bull, Boston terrier",2.0350879e-05,1.0614498e-06
196,miniature schnauzer,1.240127e-05,4.4245743e-07
197,giant schnauzer,1.2882768e-05,3.3511222e-07
198,standard schnauzer,1.0886871e-05,5.036141e-07
199,"Scotch terrier, Scottish terrier, Scottie",6.820381e-05,1.3418007e-06
200,"Tibetan terrier, chrysanthemum dog",1.3595371e-05,3.1801883e-07
201,"silky terrier, Sydney silky",7.73136e-06,8.323854e-07
202,soft-coated wheaten terrier,1.996112e-05,7.538465e-07
203,West Highland white terrier,5.6877878e-05,9.960326e-07
204,"Lhasa, Lhasa apso",1.0125591e-05,7.5256145e-07
205,flat-coated retriever,7.66288e-06,2.889421e-07
206,curly-coated retriever,2.441912e-05,1.3561669e-06
207,golden retriever,1.7413504e-05,4.9291856e-07
208,Labrador retriever,1.1416842e-05,1.0013757e-06
209,Chesapeake Bay retriever,4.48403e-06,4.0918357e-07
210,German short-haired pointer,2.5012594e-06,1.9530582e-07
211,"vizsla, Hungarian pointer",2.849265e-05,1.1215256e-05
212,English setter,7.81427e-06,1.0340612e-07
213,"Irish setter, red setter",2.0755451e-05,7.078525e-07
214,Gordon setter,1.1021791e-05,2.4091304e-07
215,Brittany spaniel,1.7711138e-05,1.2056202e-06
216,"clumber, clumber spaniel",1.1965786e-05,3.081263e-07
217,"English springer, English springer spaniel",1.1443429e-05,4.5853665e-07
218,Welsh springer spaniel,7.4328655e-06,5.3786624e-07
219,"cocker spaniel, English cocker spaniel, cocker",9.243485e-05,1.7305174e-06
220,Sussex spaniel,0.00020107137,1.1818443e-05
221,Irish water spaniel,4.586141e-05,1.2376039e-06
222,kuvasz,1.5847148e-05,1.6139481e-07
223,schipperke,1.2286424e-05,2.5482765e-07
224,groenendael,2.400759e-05,5.271658e-07
225,malinois,3.3941265e-06,3.5672406e-07
226,briard,9.665214e-06,4.550577e-07
227,kelpie,3.1881966e-05,6.673031e-07
228,komondor,1.6571881e-05,9.9523724e-08
229,"Old English sheepdog, bobtail",1.3320554e-05,5.909993e-07
230,"Shetland sheepdog, Shetland sheep dog, Shetland",2.920882e-06,2.0041175e-07
231,collie,3.5244257e-06,3.6551455e-07
232,Border collie,1.2751113e-05,7.3849066e-07
233,"Bouvier des Flandres, Bouviers des Flandres",6.44335e-05,4.5140834e-07
234,Rottweiler,6.7847936e-06,3.719283e-07
235,"German shepherd, German shepherd dog, German police dog, alsatian",8.042418e-06,4.4693368e-07
236,"Doberman, Doberman pinscher",1.1610961e-05,6.5377805e-07
237,miniature pinscher,7.342557e-06,2.527151e-07
238,Greater Swiss Mountain dog,7.215587e-06,2.613002e-07
239,Bernese mountain dog,3.7655786e-06,3.449939e-07
240,Appenzeller,1.044984e-05,5.086329e-07
241,EntleBucher,5.405354e-06,2.2293864e-07
242,boxer,2.2676265e-06,4.1158856e-07
243,bull mastiff,1.2799475e-06,6.977035e-07
244,Tibetan mastiff,1.2029723e-05,2.914178e-07
245,French bulldog,4.69623e-06,2.7309596e-07
246,Great Dane,9.495616e-06,1.5847554e-07
247,"Saint Bernard, St Bernard",3.8853777e-06,6.570371e-07
248,"Eskimo dog, husky",1.0852363e-05,3.4176702e-07
249,"malamute, malemute, Alaskan malamute",3.4790326e-06,7.689058e-08
250,Siberian husky,9.964226e-06,4.228974e-07
251,"dalmatian, coach dog, carriage dog",6.057457e-06,2.077331e-07
252,"affenpinscher, monkey pinscher, monkey dog",8.807439e-06,4.6572424e-07
253,basenji,2.311118e-05,1.4855228e-06
254,"pug, pug-dog",8.501496e-06,8.6894977e-07
255,Leonberg,1.2512626e-06,1.4343449e-07
256,"Newfoundland, Newfoundland dog",7.8937555e-06,8.187594e-07
257,Great Pyrenees,2.7316405e-06,1.7035721e-07
258,"Samoyed, Samoyede",4.371227e-06,2.4670774e-07
259,Pomeranian,4.4235426e-06,1.223361e-07
260,"chow, chow chow",9.9316285e-06,3.8850385e-07
261,keeshond,1.1264323e-06,7.7234965e-08
262,Brabancon griffon,2.849356e-06,3.086118e-07
263,"Pembroke, Pembroke Welsh corgi",2.1464891e-06,2.6554673e-07
264,"Cardigan, Cardigan Welsh corgi",4.8158768e-06,4.6955697e-07
265,toy poodle,7.3903255e-05,7.170316e-07
266,miniature poodle,2.4519113e-05,3.3151488e-07
267,standard poodle,2.7677139e-05,1.316844e-07
268,Mexican hairless,9.2682585e-06,3.215303e-08
269,"timber wolf, grey wolf, gray wolf, Canis lupus",1.3484747e-05,2.7943335e-07
270,"white wolf, Arctic wolf, Canis lupus tundrarum",3.9577146e-05,4.2373347e-07
271,"red wolf, maned wolf, Canis rufus, Canis niger",2.4095945e-05,4.729131e-07
272,"coyote, prairie wolf, brush wolf, Canis latrans",1.5238266e-05,1.3670764e-07
273,"dingo, warrigal, warragal, Canis dingo",2.2470089e-05,8.6677716e-07
274,"dhole, Cuon alpinus",3.8825572e-05,2.9383366e-07
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.8426595e-05,1.28185e-07
276,"hyena, hyaena",1.3542083e-05,4.504083e-08
277,"red fox, Vulpes vulpes",1.1792739e-05,6.15937e-08
278,"kit fox, Vulpes macrotis",3.2715602e-06,3.8025462e-08
279,"Arctic fox, white fox, Alopex lagopus",1.0154815e-05,5.284393e-07
280,"grey fox, gray fox, Urocyon cinereoargenteus",9.18685e-06,4.7488378e-08
281,"tabby, tabby cat",7.276883e-06,4.3459235e-07
282,tiger cat,1.2865529e-05,4.921684e-07
283,Persian cat,5.404931e-06,6.679557e-07
284,"Siamese cat, Siamese",4.0891387e-06,2.96989e-07
285,Egyptian cat,1.7557028e-05,8.0495266e-07
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",3.620227e-06,3.023404e-07
287,"lynx, catamount",7.1942245e-06,5.8174987e-08
288,"leopard, Panthera pardus",2.0986934e-05,8.4312705e-07
289,"snow leopard, ounce, Panthera uncia",9.060175e-06,1.6198155e-07
290,"jaguar, panther, Panthera onca, Felis onca",9.48343e-05,1.6049286e-06
291,"lion, king of beasts, Panthera leo",2.7436738e-06,1.0214021e-07
292,"tiger, Panthera tigris",1.806977e-06,1.2998068e-07
293,"cheetah, chetah, Acinonyx jubatus",4.882364e-05,8.112095e-07
294,"brown bear, bruin, Ursus arctos",5.8517562e-05,2.0318045e-07
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",3.3563167e-05,1.2185335e-07
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",3.5523458e-06,1.6688352e-07
