,imagenet_class,original_score,perturbated_score
124,"crayfish, crawfish, crawdad, crawdaddy",3.0795956e-05,2.1317406e-05
125,hermit crab,1.4503399e-05,3.8765907e-06
126,isopod,7.1038885e-05,3.134974e-05
127,"white stork, Ciconia ciconia",3.0154146e-05,2.9970442e-07
128,"black stork, Ciconia nigra",1.243025e-05,8.770729e-07
129,spoonbill,1.3339094e-05,2.3085613e-06
130,flamingo,7.166849e-06,1.0801791e-06
131,"little blue heron, Egretta caerulea",1.4685744e-05,1.0096684e-06
132,"American egret, great white heron, Egretta albus",1.1471721e-05,2.2733166e-06
133,bittern,5.0711737e-06,2.0868735e-07
134,crane,0.000105215746,5.2806317e-06
135,"limpkin, Aramus pictus",3.0439985e-05,7.955396e-07
136,"European gallinule, Porphyrio porphyrio",8.049671e-06,1.3342166e-05
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",1.6311977e-05,1.2819539e-05
138,bustard,1.3981357e-05,3.4168679e-07
139,"ruddy turnstone, Arenaria interpres",1.0823199e-05,3.7261916e-07
140,"red-backed sandpiper, dunlin, Erolia alpina",5.5300978e-05,2.6215894e-06
141,"redshank, Tringa totanus",4.474288e-06,3.1457677e-07
142,dowitcher,2.2054828e-05,6.9346123e-07
143,"oystercatcher, oyster catcher",5.8119117e-06,4.2491462e-07
144,pelican,1.24426315e-05,5.726965e-07
145,"king penguin, Aptenodytes patagonica",6.783635e-05,4.290199e-05
146,"albatross, mollymawk",0.00014006854,2.724761e-06
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",5.7337093e-06,6.8657387e-06
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",5.9005147e-06,2.549416e-05
149,"dugong, Dugong dugon",2.8820234e-06,4.9121763e-06
150,sea lion,0.00013304436,1.7451088e-05
151,Chihuahua,9.546563e-05,4.6658533e-05
152,Japanese spaniel,1.869022e-05,9.389705e-06
153,"Maltese dog, Maltese terrier, Maltese",0.000108197666,2.470251e-05
154,"Pekinese, Pekingese, Peke",8.4942054e-05,1.5145742e-05
155,Shih-Tzu,8.650334e-05,1.040766e-05
156,Blenheim spaniel,5.0032457e-05,5.006491e-06
157,papillon,3.049461e-05,1.0432931e-05
158,toy terrier,1.544767e-05,4.6673326e-06
159,Rhodesian ridgeback,9.416096e-05,5.6879685e-06
160,"Afghan hound, Afghan",0.00033411165,2.167451e-05
161,"basset, basset hound",6.092571e-05,5.5077867e-06
162,beagle,9.3235896e-05,1.0600046e-05
163,"bloodhound, sleuthhound",0.00037715535,1.4892027e-05
164,bluetick,3.6410427e-05,4.61609e-06
165,black-and-tan coonhound,4.1611926e-05,4.8193447e-06
166,"Walker hound, Walker foxhound",1.3482552e-05,1.3738576e-06
167,English foxhound,4.9922546e-05,6.1819264e-06
168,redbone,4.039687e-05,3.456184e-06
169,"borzoi, Russian wolfhound",3.998217e-05,4.094242e-06
170,Irish wolfhound,0.00013346189,9.706127e-07
171,Italian greyhound,0.00041585902,5.464427e-05
172,whippet,0.0001782606,1.1120784e-05
173,"Ibizan hound, Ibizan Podenco",8.92931e-05,5.0835233e-06
174,"Norwegian elkhound, elkhound",0.00027505995,1.5327667e-05
175,"otterhound, otter hound",6.135796e-05,2.6373625e-06
176,"Saluki, gazelle hound",0.00011445861,4.0407695e-06
177,"Scottish deerhound, deerhound",0.00014059094,3.825789e-06
178,Weimaraner,0.000309366,2.439921e-05
179,"Staffordshire bullterrier, Staffordshire bull terrier",9.991854e-05,2.6791724e-05
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",4.707359e-05,1.7860755e-05
181,Bedlington terrier,0.00015381056,7.3963556e-06
182,Border terrier,3.8201822e-05,8.652751e-06
183,Kerry blue terrier,0.00010226849,1.5239238e-05
184,Irish terrier,0.00016896676,2.2624226e-06
185,Norfolk terrier,0.00032061443,1.0053183e-05
186,Norwich terrier,0.00021674183,9.597436e-06
187,Yorkshire terrier,5.423369e-05,5.95978e-06
188,wire-haired fox terrier,3.1244486e-05,1.9587144e-06
189,Lakeland terrier,4.611145e-05,3.8873673e-06
190,"Sealyham terrier, Sealyham",4.14612e-05,2.8241068e-06
191,"Airedale, Airedale terrier",6.5210144e-05,6.037179e-06
192,"cairn, cairn terrier",6.728784e-05,2.656109e-06
193,Australian terrier,3.946025e-05,2.5301952e-06
194,"Dandie Dinmont, Dandie Dinmont terrier",2.8905384e-05,2.058612e-06
195,"Boston bull, Boston terrier",0.0001518753,0.000119543954
196,miniature schnauzer,7.6635006e-05,1.1131012e-05
197,giant schnauzer,4.985442e-05,1.4499077e-05
198,standard schnauzer,4.952635e-05,3.2354344e-06
199,"Scotch terrier, Scottish terrier, Scottie",4.427417e-05,6.5133013e-06
200,"Tibetan terrier, chrysanthemum dog",0.00015536412,4.7008402e-06
201,"silky terrier, Sydney silky",5.298904e-05,1.1859012e-06
202,soft-coated wheaten terrier,0.00063968543,6.4725814e-06
203,West Highland white terrier,0.00011205708,9.822756e-06
204,"Lhasa, Lhasa apso",0.00058150943,1.1167173e-05
205,flat-coated retriever,3.2046126e-05,1.09970315e-05
206,curly-coated retriever,2.9897348e-05,1.773441e-05
207,golden retriever,8.497138e-05,1.51551185e-05
208,Labrador retriever,0.00015073249,5.7216374e-05
209,Chesapeake Bay retriever,0.00012678986,1.1828228e-05
210,German short-haired pointer,2.907001e-05,3.3895876e-06
211,"vizsla, Hungarian pointer",0.00017681265,1.676791e-05
212,English setter,4.5332094e-05,2.6363466e-06
213,"Irish setter, red setter",1.818466e-05,5.0889366e-06
214,Gordon setter,3.5267385e-05,4.099184e-06
215,Brittany spaniel,8.352372e-05,1.7932012e-05
216,"clumber, clumber spaniel",0.00016746696,5.887359e-06
217,"English springer, English springer spaniel",5.7815425e-05,2.2668879e-05
218,Welsh springer spaniel,3.170194e-05,7.4357495e-06
219,"cocker spaniel, English cocker spaniel, cocker",0.00015754534,8.468285e-06
220,Sussex spaniel,7.9324534e-05,1.4750682e-05
221,Irish water spaniel,3.7549242e-05,1.7421307e-05
222,kuvasz,0.00023448479,1.4046314e-05
223,schipperke,5.2370946e-05,1.1507195e-05
224,groenendael,1.4564164e-05,3.036521e-06
225,malinois,8.021092e-05,2.3768362e-05
226,briard,0.00010658659,1.3173401e-05
227,kelpie,2.7147495e-05,6.586277e-06
228,komondor,0.0004224306,6.476379e-06
229,"Old English sheepdog, bobtail",0.00038338103,2.1467684e-05
230,"Shetland sheepdog, Shetland sheep dog, Shetland",2.807209e-05,3.1362526e-06
231,collie,7.752919e-05,5.6884023e-06
232,Border collie,6.964089e-05,6.7318256e-06
233,"Bouvier des Flandres, Bouviers des Flandres",0.00014171848,1.5598527e-05
234,Rottweiler,8.518075e-05,1.6417265e-05
235,"German shepherd, German shepherd dog, German police dog, alsatian",0.0002795785,2.5193109e-05
236,"Doberman, Doberman pinscher",3.369978e-05,8.220834e-06
237,miniature pinscher,2.9898632e-05,1.6444688e-05
238,Greater Swiss Mountain dog,8.475178e-05,1.0674709e-05
239,Bernese mountain dog,5.9697297e-05,6.8415416e-06
240,Appenzeller,6.436689e-05,7.3897913e-06
241,EntleBucher,1.9241186e-05,4.909704e-06
242,boxer,6.85598e-05,1.3133462e-05
243,bull mastiff,0.00044410527,2.1420483e-05
244,Tibetan mastiff,0.0001022155,7.563275e-06
245,French bulldog,4.450985e-05,2.0185225e-05
246,Great Dane,0.00040851312,1.177186e-05
247,"Saint Bernard, St Bernard",3.874972e-05,2.5020521e-05
248,"Eskimo dog, husky",0.0003622394,3.3798668e-05
249,"malamute, malemute, Alaskan malamute",0.0001680106,1.5728157e-05
250,Siberian husky,0.00025473675,4.9637063e-05
251,"dalmatian, coach dog, carriage dog",0.0001808915,1.5706826e-05
252,"affenpinscher, monkey pinscher, monkey dog",1.4420963e-05,8.4489575e-06
253,basenji,4.112317e-05,2.5937901e-05
254,"pug, pug-dog",0.00014057486,0.0002808344
255,Leonberg,0.00012344954,2.213109e-05
256,"Newfoundland, Newfoundland dog",8.995358e-05,2.8952463e-05
257,Great Pyrenees,0.00028484347,1.6875329e-05
258,"Samoyed, Samoyede",0.00013971847,1.3833415e-05
259,Pomeranian,3.8800306e-05,5.4014363e-06
260,"chow, chow chow",2.7293852e-05,6.040496e-06
261,keeshond,3.106183e-05,4.3888917e-06
262,Brabancon griffon,1.2060455e-05,8.797524e-06
263,"Pembroke, Pembroke Welsh corgi",5.2080777e-05,1.0316725e-05
264,"Cardigan, Cardigan Welsh corgi",7.37467e-05,3.1054658e-06
265,toy poodle,8.471659e-05,4.0735278e-05
266,miniature poodle,0.00011697737,1.2663795e-05
267,standard poodle,0.0001515046,2.4842415e-05
268,Mexican hairless,2.8269957e-05,7.1516265e-06
269,"timber wolf, grey wolf, gray wolf, Canis lupus",6.327664e-05,2.5730737e-06
270,"white wolf, Arctic wolf, Canis lupus tundrarum",7.4480275e-05,2.8016564e-06
271,"red wolf, maned wolf, Canis rufus, Canis niger",2.2473998e-05,6.996464e-07
272,"coyote, prairie wolf, brush wolf, Canis latrans",2.4268433e-05,4.4788814e-07
273,"dingo, warrigal, warragal, Canis dingo",0.00015113963,3.4633472e-06
274,"dhole, Cuon alpinus",7.612878e-06,2.0742166e-07
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",2.8536142e-05,2.1170077e-07
276,"hyena, hyaena",3.2470136e-05,1.8839656e-07
277,"red fox, Vulpes vulpes",1.0261242e-05,2.7517143e-07
278,"kit fox, Vulpes macrotis",7.822125e-06,1.423222e-07
279,"Arctic fox, white fox, Alopex lagopus",5.2593325e-05,2.3568632e-06
280,"grey fox, gray fox, Urocyon cinereoargenteus",8.050018e-06,4.9554956e-07
281,"tabby, tabby cat",3.170076e-05,2.346568e-05
282,tiger cat,3.0082108e-05,1.0311236e-05
283,Persian cat,2.0149404e-05,5.599256e-06
284,"Siamese cat, Siamese",4.104751e-05,2.5464831e-05
285,Egyptian cat,0.00013614462,0.000103346916
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",4.8970174e-05,8.2813685e-06
287,"lynx, catamount",2.628968e-05,1.4691191e-06
288,"leopard, Panthera pardus",8.697149e-05,2.4793123e-06
289,"snow leopard, ounce, Panthera uncia",6.952744e-05,2.8685472e-06
290,"jaguar, panther, Panthera onca, Felis onca",2.7670207e-05,8.276608e-06
291,"lion, king of beasts, Panthera leo",5.5364144e-05,7.337652e-07
292,"tiger, Panthera tigris",5.496453e-05,2.6185771e-05
293,"cheetah, chetah, Acinonyx jubatus",4.4277167e-05,1.121065e-06
294,"brown bear, bruin, Ursus arctos",1.1551237e-05,1.061808e-06
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",4.6511477e-06,1.9325041e-06
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",3.514018e-05,2.1452212e-05
297,"sloth bear, Melursus ursinus, Ursus ursinus",9.073745e-06,1.5704378e-06
298,mongoose,1.0527135e-05,1.967718e-06
299,"meerkat, mierkat",4.6085555e-05,9.431005e-06
300,tiger beetle,8.26948e-06,2.1199323e-06
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",4.9476944e-06,2.8114284e-06
302,"ground beetle, carabid beetle",1.5540552e-05,7.6068654e-06
303,"long-horned beetle, longicorn, longicorn beetle",1.562389e-05,1.1027429e-06
304,"leaf beetle, chrysomelid",1.87571e-06,1.1220384e-06
305,dung beetle,8.432794e-05,2.4789342e-06
306,rhinoceros beetle,8.076335e-05,3.742506e-05
307,weevil,3.837287e-06,4.129028e-07
308,fly,1.6270835e-05,1.5598132e-06
309,bee,2.2570619e-06,1.622992e-06
310,"ant, emmet, pismire",1.4065947e-05,1.7129368e-06
311,"grasshopper, hopper",1.100394e-05,9.3944834e-07
312,cricket,6.5326635e-06,6.514385e-07
313,"walking stick, walkingstick, stick insect",7.0808645e-05,5.413581e-06
314,"cockroach, roach",3.0225578e-05,1.3023739e-05
315,"mantis, mantid",3.303839e-05,1.7621076e-06
316,"cicada, cicala",5.906212e-06,1.2126518e-06
317,leafhopper,7.251326e-07,5.3335384e-07
318,"lacewing, lacewing fly",2.8683653e-06,4.3796908e-07
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",7.4342506e-06,3.4416526e-06
320,damselfly,2.9121134e-06,9.445132e-07
321,admiral,9.525173e-07,9.571253e-07
322,"ringlet, ringlet butterfly",1.2915821e-06,2.2082259e-07
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",8.046702e-06,4.616158e-07
324,cabbage butterfly,3.7068926e-06,1.524503e-06
325,"sulphur butterfly, sulfur butterfly",2.9216212e-06,6.8727906e-07
326,"lycaenid, lycaenid butterfly",3.0378808e-06,1.0038453e-06
327,"starfish, sea star",2.5863788e-05,1.3961763e-05
328,sea urchin,8.029093e-06,1.9247407e-06
329,"sea cucumber, holothurian",5.7535703e-06,3.7435268e-05
330,"wood rabbit, cottontail, cottontail rabbit",1.0054348e-05,8.8076433e-07
331,hare,1.3965486e-05,1.0320006e-06
332,"Angora, Angora rabbit",0.00012156369,5.1297984e-06
333,hamster,1.2738635e-05,6.4916094e-06
334,"porcupine, hedgehog",5.807684e-06,8.1927953e-07
335,"fox squirrel, eastern fox squirrel, Sciurus niger",3.6352362e-06,3.0514028e-07
336,marmot,1.2901879e-05,2.0671727e-07
337,beaver,2.0360378e-05,1.5828145e-05
338,"guinea pig, Cavia cobaya",9.488179e-06,5.336599e-06
339,sorrel,1.6330905e-05,4.377073e-07
340,zebra,0.00017232398,4.3198966e-06
341,"hog, pig, grunter, squealer, Sus scrofa",6.74935e-05,6.166446e-06
342,"wild boar, boar, Sus scrofa",1.4343277e-05,2.168337e-06
343,warthog,2.5339577e-05,1.790484e-07
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",1.8343459e-05,8.618466e-06
345,ox,5.7210837e-05,6.720725e-07
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",9.9390934e-05,1.0092034e-06
347,bison,1.9640154e-05,5.2083027e-07
348,"ram, tup",0.00014094663,6.9870686e-07
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",5.1980544e-05,4.8769556e-07
350,"ibex, Capra ibex",0.00012667535,3.3928717e-07
351,hartebeest,2.9648932e-05,1.1796527e-07
352,"impala, Aepyceros melampus",3.6715286e-05,8.200596e-07
353,gazelle,2.1460304e-05,2.7524885e-07
354,"Arabian camel, dromedary, Camelus dromedarius",0.00032622274,8.2605015e-07
355,llama,0.00029229117,8.58025e-06
356,weasel,3.25496e-05,1.4688888e-05
